,agribusiness,farm_production,food_processing,packaging,transportation,wholesale,retail,food_service,energy,finance_and_insurance,advertising,legal_accounting,PrimaryTotal,P1,P2,P3,P4,P5,im,SupplyTotal
001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,16.846202948114822,53.57598551534163,0.21173755781858464,0.561901319057009,1.3037575955901222,11.014999875394341,11.778202251460588,0.1972631718766694,3.0526223860510737,0.9731430210881024,0.4053004483634641,0.07888390984356082,99.99999999999997,39.54577772845684,68.65891401395285,6.780133295393209,-23.71286404921452,0.015177452558831569,8.712861558852746,99.99999999999997
003,9.892434393848713,66.3521156181134,0.7040658832493821,0.39758682483065827,1.6891013792217289,8.31141483149264,8.795598425048892,0.2982158033378602,2.2820314156955317,0.877532509393149,0.3359661765771578,0.06393673919089082,100.00000000000003,45.956321253129026,51.63794623873079,4.886140268842678,-10.307490191026936,0.010660950973237236,7.816421479351221,100.00000000000003
004,4.109835198330719,44.23156376638995,0.22866852557407,0.8289712184469504,2.412755299415111,20.37778915280371,22.510955239125636,0.31085175199020426,2.6483006922684105,1.4795733441835126,0.7233007044148206,0.1374351070569191,100.00000000000003,41.50745410330666,48.13575624548092,5.2622556303694,-2.7281211209834884,0.0157556314594938,7.80689951036704,100.00000000000003
005,2.793150745400367,43.98656156198516,0.2796536857885002,1.1522122460324842,2.0919453318236068,21.054969802564575,23.218648598458284,0.320976308518661,2.7696034394032636,1.441017794653481,0.7498734279309396,0.1413870574406945,100.00000000000003,43.679958128211226,43.834422973416196,5.297600127833193,-1.9029154361327731,0.01653273353426587,9.07440147313792,100.00000000000003
006,2.298551918518414,31.152373631766746,0.202834097766351,1.0201146269240398,1.9366891870623881,27.055695704610713,29.879455766594514,0.3995701431547215,3.124227645811341,1.8309079314953975,0.9236193228408204,0.17596002345454145,100.0,43.989180854293934,41.11121391557683,7.604551266431654,-1.2151544214042675,0.019770964927687863,8.490437420174144,100.0
007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008,6.271014325714479,16.62923458999782,19.269558040112315,1.0059997267996674,2.3748533234553144,24.94115744553108,22.64352133558168,0.3714375104987951,3.6361911259921085,1.8116165252041052,0.8778329225814626,0.16758312853115384,99.99999999999997,37.88134280903139,28.561390461642823,6.7150315043774,1.4372491387445407,0.026804873680382577,25.378181212523437,99.99999999999997
009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010,0.014585131305811128,86.56373887912717,0.1961619429636074,0.20073055619888963,4.808086018566388,0.8636747226517398,0.5970314161294464,0.7173736231724747,5.359790246227008,0.478934472904498,0.16070329203736866,0.03918969871560481,100.00000000000001,67.73486151474002,6.9120449009644975,15.978458626910815,2.1454921399677813,0.011774685064526563,7.21736813235238,100.00000000000001
011,0.6346820247176777,29.200233157962565,5.867060512709071,0.914364032580762,2.377121443585815,24.861586919961475,24.93751722478417,0.4150063343920245,7.7967005687747655,1.9429793264265,0.8657767989227867,0.18697165518237302,100.0,44.20635289201908,27.638356494651934,8.420415270357125,1.7749105064453594,0.03439367335686983,17.925571163169625,100.0
014,2.824969729335892,12.750797953660562,19.20816925082113,1.1098041706871817,2.059797004522907,27.876098635439956,26.93839957664879,0.4358862182731901,3.4279463104709365,2.104410064717122,1.0758884114808331,0.18783267394148687,99.99999999999997,43.22444980271818,26.717284628555227,7.245318107609182,1.5925875244777659,0.027446235715295978,21.19291370092433,99.99999999999997
015,1.5646177011962588,6.049683443570088,27.99540801529824,1.405439501606209,2.3707794245285023,26.77082049853016,25.38885067759095,0.46110568076052805,3.6784329732269425,2.9420424738588737,1.1807826639796601,0.1920369458535793,100.0,40.48700348632172,27.247597699027313,6.793058911513507,1.3196054810438376,0.030851588926501538,24.121882833167117,100.0
016,0.11676476297744787,4.7925035744123505,37.09024196391978,1.3064603056552673,2.668862836502825,24.67770170875503,21.127840328736255,0.37906467744821076,4.204549430973049,2.501112309515396,0.9621548750412203,0.1727432260631662,100.0,36.42416232789114,22.299384315410553,5.74993696238861,1.0855076710820921,0.030048172436560706,34.41096055079105,100.0
017,0.829475065028081,6.677856091054883,24.047064259962546,3.2781433050502162,2.834155061586883,26.095456642622906,26.68716670683037,0.41914734882321,4.698909808162797,2.2687267833486064,1.9782434918663085,0.1856554356631974,100.00000000000001,46.624932355075146,27.65882579794832,7.057711706942503,0.27403295487520396,0.03874108891062063,18.34575609624821,100.00000000000001
018,0.0442117252758129,0.15358752800768916,45.85178841947238,1.2145573444247728,1.8153396957445533,21.796698510944108,23.338252480843323,0.3209888340112453,2.4720520075236827,1.8407077624014327,0.9225049022933753,0.22931078905762547,100.0,28.35378146017365,17.535862192798522,4.209305945232921,0.8320585855552014,0.019726991397246638,49.04926482484246,100.0
019,1.814890823386666,4.910209013366694,29.653744045243602,4.955613729796365,2.719584830444645,23.479736210213236,22.163450788124155,0.43529989383618234,4.334115602875807,2.6187066712123444,2.707203998672515,0.20744439282778812,100.0,41.71816948669074,26.45650897177689,7.212326662358876,1.1861825420368228,0.03392819520234305,23.392884141934324,100.0
020,18.73281827165489,22.414546874705536,11.386780441758404,0.9432959637635563,2.7449802342254284,18.432636302399686,17.925909303488165,0.34330645569485374,4.446755995202996,1.7223070524599704,0.7608528682964127,0.1458102363501092,99.99999999999999,41.99016076155124,45.33842829943139,9.963671138521939,-8.71827892986559,0.02438394938592553,11.40163478097509,99.99999999999999
021,0.17687500160146283,0.45084597046445307,62.05507561496113,2.6437416373570795,2.423000412338945,13.187413459253033,10.598455831738105,0.24083764379292316,4.080634428733788,2.1568027092038067,1.8233954490108628,0.16292184154440995,100.0,24.716052077348312,17.580024808647128,4.364907640578985,2.8043168239346428,0.030634830903311677,50.50406381858762,100.0
023,0.5141251339866432,2.064030862556406,37.08445892756649,3.902436922416439,2.1961533279378225,23.998423960810715,21.616824584681854,0.44605122824069676,3.7306148673744337,2.03473266568543,2.2098820203607845,0.20226549838227367,99.99999999999999,42.56696508491176,24.970054825431603,6.49145814944982,0.9631424525731819,0.0284833610249402,24.97989612660868,99.99999999999999
024,0.5286286038387471,3.5359887216304307,31.79346947804016,1.5512828556790033,4.685776998368308,22.935732581394277,25.596079417608646,0.3812271198994933,5.975881230467586,1.779349614327494,1.0343957386802873,0.20218764006556722,100.0,37.94364505404081,27.125396948163154,6.912293476040238,1.157264628413255,0.045499527364945974,26.8159003659776,100.0
025,0.09036803637330301,0.5078343624911379,32.38766664577645,2.9063704956485386,4.1220029441386306,24.54505370139781,25.54243285797303,0.42314446444266485,4.8198802321875025,2.126946263706488,2.2545758263619518,0.2737241695025,100.0,41.83494467007615,26.73211801003041,7.694757106252739,1.0770093134730052,0.034964627304825774,22.626206272862873,100.0
026,0.706337752120079,3.2787897929298877,28.488678356770766,2.6755138394721056,2.7184550864250836,26.42785319601284,27.040803748498224,0.446825336194352,3.745054196595696,2.311201656080487,1.9588960605822012,0.20159097831826836,100.00000000000001,45.95284529190876,29.720293884956956,6.8948793570078974,0.8439072661536726,0.029595143113050594,16.558479056859667,100.00000000000001
027,0.27497804575883117,0.500955195841829,53.50644115674972,1.7860569393873105,1.4184235625103838,18.015625597097973,18.22467933997217,0.2873431751597511,3.147083072053255,1.3408309288173657,1.345889464534365,0.1516935221170321,99.99999999999999,35.93312228674942,23.411564699477864,6.684865840605939,24.135184580709296,0.024634312465876978,9.810628279991596,99.99999999999999
028,0.09984244125002228,0.7446714025819311,32.029873160885806,7.8409511813684265,2.990016494589445,23.38528741230753,22.52982822970907,0.4203036774917523,4.914526174558491,2.515025970928035,2.3387296925002374,0.19094416182923504,99.99999999999997,42.66248187063186,22.532595472811366,8.17606297357114,5.748365614605088,0.03961224050984985,20.840881827870675,99.99999999999997
029,0.004525394014680119,0.025001660974942785,59.73370291626714,1.0189344088703414,0.7935190898159403,16.268051905241894,17.991840560600505,0.24731170280876894,1.6714883866345915,1.072039881105797,1.0645658019500859,0.10901829171531402,100.0,25.73891487979368,9.833648514130765,3.931776820834794,52.25959171075554,0.01536686284529798,8.22070121163994,100.0
129,1.0095205352018715,5.395059194665949,10.124035190009769,3.2568844676626063,2.7812209466147197,7.062324054615672,3.571979296984366,59.46921467166907,4.0238253109988955,2.051801835899111,1.105482668384697,0.1486518272932816,99.99999999999999,56.078434351431184,18.648592392183023,7.603366917411681,-0.6302398983840993,0.025863803151228985,18.27398243420698,99.99999999999999
agri,2.0316191578761327,12.983441165302969,18.87142487386925,2.430674070314054,2.4215899558054144,18.224031824906938,17.32945148158023,18.51887057835443,3.782362207812711,1.969417213757146,1.271936084166862,0.16518138625386256,100.00000000000001,45.758423942972925,26.990797684648847,6.900748208336219,3.1482224929163016,0.025835611456179765,17.175972059669537,100.00000000000001
