,農場階段,運輸階段,加工階段,批發零售階段
001,0.0,0.0,0.0,0.0
002,100.0,98.6633809926917,98.6633809926917,76.44707882670849
003,100.0,98.01208989620778,98.01208989620778,80.99536162703777
004,100.0,95.7755539007049,95.7755539007049,51.620667043528925
005,100.0,96.74796020348765,96.74796020348765,50.157749677315444
006,100.0,96.70408360222945,96.70408360222945,38.14736770964678
007,0.0,0.0,0.0,0.0
008,100.0,97.9042929840619,97.9042929840619,52.869252915598366
009,0.0,0.0,0.0,0.0
010,100.0,94.59475680093571,94.59475680093571,94.59475680093571
011,100.0,97.72648926427495,97.72648926427495,48.08295984412396
014,100.0,99.45157186913193,83.72192490825708,38.88325852250557
015,100.0,95.94247380377408,37.653493638703765,18.578732516206824
016,100.0,84.49508761529847,14.008186605413044,7.8987822975653685
017,100.0,85.70605458550294,15.161399386724304,8.331442917139679
018,100.0,21.063004331266296,0.5280906775257413,0.274417882526066
019,100.0,91.35266516011946,26.834287072071707,15.319003774741807
020,100.0,96.50475097670021,70.72446908609793,44.86823520019278
021,100.0,31.581624102400784,0.9098519281549301,0.7281856374197179
023,100.0,85.07585255405064,6.882886013397849,4.0134860587498045
024,100.0,50.678675365715534,8.816479108768727,4.344974199426516
025,100.0,17.341910552803498,1.4993112100991473,0.7390721126518864
026,100.0,79.75741125015486,13.49401377137512,6.318185090561687
027,100.0,53.81565187462212,1.4490310003077453,0.9070090373211943
028,100.0,37.10919308743031,1.8921664364272834,1.0830556998709637
029,100.0,20.730507370497328,0.0795913880139187,0.04945531641512354
129,100.0,100.0,10.98288311783624,10.98288311783624
agri,100.0,96.08891682059138,31.319016003085032,21.162311794152384
